15 5
1 1 -0.06832305643661858
1 2 -0.21853896027806188
1 3 -0.25471776950292746
1 4 0.6969780150842425
1 5 0.6300104659356264
2 1 0.06050250998288749
2 2 0.5148978312904243
2 3 0.05597303752878676
2 4 -0.4611295076123994
2 5 0.7179458655756263
3 1 0.8183273194713636
3 2 -0.4357647884465458
3 3 0.3263176026076829
3 4 -0.08498342869504001
3 5 0.1635361930355491
4 1 0.5674198823959867
4 2 0.5525035814341465
4 3 -0.49812095013115343
4 4 0.26136706378246244
4 5 -0.23735468517461
5 1 -0.006817735215383017
5 2 0.438143569878164
5 3 0.7598540769371879
5 4 0.4754432652960227
5 5 -0.06752195130134782
1 6 0.1444665198880761
2 7 0.01367552272141621
3 8 0.17838981425758987
4 9 0.2778008932016011
5 10 0.01733836150959267
6 6 -0.28524900895782107
6 7 -0.18711926306733945
6 8 0.3872881870959156
6 9 0.24754041070872213
6 10 0.8199701149919009
7 6 0.49473149803088823
7 7 0.5499840507708602
7 8 -0.38412407263271603
7 9 -0.1623617438535259
7 10 0.5280583771806735
8 6 -0.34359820311682704
8 7 0.5806451017096127
8 8 -0.11597958121125508
8 9 0.7138028445531601
8 10 -0.14773549514385598
9 6 0.7266343498711829
9 7 -0.04279552598347504
9 8 0.5091890330041596
9 9 0.44032827297843563
9 10 -0.13041704346901176
10 6 -0.16678292522576946
10 7 0.5687914680295777
10 8 0.6555393370121778
10 9 -0.45712024711518123
10 10 -0.09984477481011818
6 11 0.17782168585403738
7 12 0.22775321710378904
8 13 0.20586352865838678
9 14 0.04892966320989147
10 15 0.13989710815149026
6 4 0.20024272614944177
6 5 0.05840410900018606
7 4 0.01295361993010844
7 5 0.06875717881610499
8 4 0.13645887380518876
8 5 0.14502794093068855
9 4 0.15905577462333312
9 5 0.21153852490713115
10 4 0.16050988120378157
10 5 0.2522553763015363
11 11 0.07241444100716193
11 12 -0.13486948869922746
11 13 -0.01996898967427736
11 14 -0.03802480743743742
11 15 0.987279961926891
12 11 0.5905976707434577
12 12 -0.00037274837208037444
12 13 0.12882143011752942
12 14 0.796553564894722
12 15 -0.010085126029879448
13 11 0.35700617808569096
13 12 0.08170357757701346
13 13 0.8397490239928689
13 14 -0.40063856351241994
13 15 -0.01346968260551721
14 11 -0.6258422747790704
14 12 0.511347344830189
14 13 0.4093104648649813
14 14 0.39983483532126923
14 15 0.13943596325948704
15 11 0.35611595857814227
15 12 0.8447831085094522
15 13 -0.3321035962601125
15 14 -0.20899133513898357
15 15 0.0745167552366818
11 9 0.150956093976466
11 10 0.08022527574848304
12 9 0.13811779604061958
12 10 0.17093314298678633
13 9 0.18474221510290906
13 10 0.1916308707525323
14 9 0.08320373478380945
14 10 0.2947591288070641
15 9 0.11052504513544077
15 10 0.041458885371345185
