20 4
1 1 0.8537452564466784
1 2 0.2901424354939002
1 3 -0.11915188442946541
1 4 -0.41561909563610216
2 1 -0.021397973069531097
2 2 0.04538075938886815
2 3 0.9567476492420569
2 4 -0.2865600270372753
3 1 -0.06532345054260565
3 2 0.8829393601169142
3 3 0.09308976154906362
3 4 0.4555054658950655
4 1 0.5161337139274275
4 2 -0.36630047796759924
4 3 0.24853784500845014
4 4 0.73325226817702
1 5 0.16322189850385546
2 6 0.13551244795466477
3 7 0.1340053802592119
4 8 0.2582389176232547
5 5 0.6918172319989488
5 6 0.38642436340076725
5 7 -0.5811488535136848
5 8 0.18528663993756808
6 5 0.3871029048710332
6 6 0.5088250401356867
6 7 0.692793591907316
6 8 -0.3335947520322878
7 5 0.5140931264905154
7 6 -0.5847103151123682
7 7 0.38195348389181333
7 8 0.4979293532613926
8 5 -0.32748819191678824
8 6 0.4998871245615593
8 7 0.1908260601039466
8 8 0.7787488437473621
5 9 0.28870645386361565
6 10 0.15087952920975337
7 11 0.07148797965270719
8 12 0.07105256130171135
5 3 0.09732489357424716
5 4 0.012718503345369303
6 3 0.267055865324507
6 4 0.08450694215336578
7 3 0.1250578601056578
7 4 0.23858389056366447
8 3 0.20958121525578396
8 4 0.2823982953837918
9 9 -0.4653307367994504
9 10 0.8631284047070757
9 11 0.07070897102234334
9 12 0.18296694727316296
10 9 -0.33754287077517064
10 10 -0.2515245728231512
10 11 0.9068077981789207
10 12 -0.022356583300794562
11 9 0.7136915400914337
11 10 0.23750756298128403
11 11 0.34537321271878363
11 12 0.5612057439699949
12 9 0.40022056591391547
12 10 0.36787892543694467
12 11 0.23112161845047122
12 12 -0.8068899505655893
9 13 0.2617226161315708
10 14 0.14214218049780372
11 15 0.13209643736807278
12 16 0.2343578141685216
9 7 0.18238834955806196
9 8 0.2843650304105542
10 7 0.19059836807264288
10 8 0.29429686796606447
11 7 0.06179838331923759
11 8 0.06054024194383802
12 7 0.2494203462001895
12 8 0.2427096062396669
13 13 0.5968374596541363
13 14 -0.46452385599049645
13 15 0.2933776909682675
13 16 0.5847496596078062
14 13 0.7830902987600353
14 14 0.4130846319753144
14 15 -0.3649148561958388
14 16 -0.2880413486659659
15 13 -0.16441704158332654
15 14 0.49911745220918124
15 15 -0.38621249669001434
15 16 0.7580822598753176
16 13 0.05934363637748393
16 14 0.6037055929356261
16 15 0.7947368027027338
16 16 0.020280638786233034
13 17 0.08735969698179051
14 18 0.11114219445896216
15 19 0.23656983014913302
16 20 0.2918305994084544
13 11 0.20541811718034464
13 12 0.10121768216309669
14 11 0.15574448121523005
14 12 0.21001258752757684
15 11 0.15331043301409455
15 12 0.11495951475448529
16 11 0.026258395561597637
16 12 0.22979726139526335
17 17 0.688432051075366
17 18 0.06311800411354362
17 19 0.5198419132190617
17 20 -0.5018384340299494
18 17 0.3326819044785582
18 18 0.8444701757290874
18 19 -0.3876231690308705
18 20 0.16106257034788754
19 17 -0.26944886501037185
19 18 0.36659122424187696
19 19 0.7601435033470492
19 20 0.4638858025125784
20 17 0.5854753373365152
20 18 -0.3853532329819594
20 19 -0.04116452854685303
20 20 0.7120582818776569
17 15 0.07985447784960857
17 16 0.25686672128115207
18 15 0.2623345748147056
18 16 0.2808177096007049
19 15 0.12499859995101341
19 16 0.28148096605012374
20 15 0.020523730031198117
20 16 0.05354854458740312
